USER       PID    PPID   LWP    NLWP   %CPU  %MEM  VSZ    RSS    TTY    STAT   START  TIME   COMMAND
root       79     2      79     1      0.0   0.0   0      0      ?      S      07:17  0:00    [idle_inject/12]
root       80     2      80     1      0.0   0.0   0      0      ?      S      07:17  0:01    [migration/12]
root       81     2      81     1      0.0   0.0   0      0      ?      S      07:17  0:00    [ksoftirqd/12]
root       82     2      82     1      0.0   0.0   0      0      ?      I      07:17  0:00    [kworker/12:0-events]
root       83     2      83     1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/12:0H-events_highpri]
root       84     2      84     1      0.0   0.0   0      0      ?      S      07:17  0:00    [cpuhp/13]
root       85     2      85     1      0.0   0.0   0      0      ?      S      07:17  0:00    [idle_inject/13]
root       86     2      86     1      0.0   0.0   0      0      ?      S      07:17  0:01    [migration/13]
root       87     2      87     1      0.0   0.0   0      0      ?      S      07:17  0:00    [ksoftirqd/13]
root       89     2      89     1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/13:0H-events_highpri]
root       90     2      90     1      0.0   0.0   0      0      ?      S      07:17  0:00    [cpuhp/1]
root       91     2      91     1      0.0   0.0   0      0      ?      S      07:17  0:00    [idle_inject/1]
root       92     2      92     1      0.0   0.0   0      0      ?      S      07:17  0:02    [migration/1]
root       93     2      93     1      0.0   0.0   0      0      ?      S      07:17  0:00    [ksoftirqd/1]
root       95     2      95     1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/1:0H-events_highpri]
root       96     2      96     1      0.0   0.0   0      0      ?      S      07:17  0:00    [cpuhp/3]
root       97     2      97     1      0.0   0.0   0      0      ?      S      07:17  0:00    [idle_inject/3]
root       98     2      98     1      0.0   0.0   0      0      ?      S      07:17  0:01    [migration/3]
root       99     2      99     1      0.0   0.0   0      0      ?      S      07:17  0:00    [ksoftirqd/3]
root       101    2      101    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/3:0H-events_highpri]
root       104    2      104    1      0.0   0.0   0      0      ?      S      07:17  0:00    [kdevtmpfs]
root       105    2      105    1      0.0   0.0   0      0      ?      I<     07:17  0:00    [kworker/R-inet_frag_wq]
root       106    2      106    1      0.0   0.0   0      0      ?      S      07:17  0:00    [kauditd]
